specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,baseline_temp,correction,s_tensor,aniso_type,NLT_beta
AL2360-1a,AL2360-1,1991-1992 Eruption Site,1.01e-07,2.008088477405668e-08,-5.1021640503798385e-08,8.39158565285723e-08,2.3577981749446445e-08,1.1674183777669578e-09,-2.544720751047431e-10,2.0045306473166862e-08,,,2.5e-05,P,573.0,623.0,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,8.37e-08,2.5646911044099364e-08,-4.417382946303637e-08,6.802173230765005e-08,2.0673817364893583e-08,7.187352825294596e-10,-2.76378879068192e-09,2.5487427041937642e-08,,,2.5e-05,P,623.0,673.0,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,7.26e-08,3.665265885936073e-08,-3.69760021881551e-08,6.033935155401873e-08,1.620795842239507e-08,-2.072137448489094e-09,1.942216386272157e-09,3.654246082797572e-08,,,2.5e-05,P,673.0,723.0,1,,,
AL2360-1a,AL2360-1,1991-1992 Eruption Site,4.490000000000001e-08,6.193208102088375e-08,-2.0782364049457586e-08,3.7802979868500165e-08,1.2451427933276767e-08,4.852282489821003e-10,-3.562187785610843e-10,6.19291556644001e-08,,,2.5e-05,P,723.0,773.0,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.5e-07,0.0,6.06301603064689e-08,-2.1715283273849154e-07,1.0802143720049557e-07,0.0,0.0,0.0,,0.0,2.5e-05,ZI,273.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.48e-07,0.0,7.28147719102846e-08,-2.1146945263733273e-07,1.0715726570289161e-07,0.0,0.0,0.0,,0.0,2.5e-05,ZI,373.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.45e-07,1.2064645254615052e-08,6.613344156797042e-08,-2.136426307405372e-07,1.000409627934393e-07,-1.5922739043370075e-09,-2.8564116118680336e-09,1.1612977294253974e-08,,,2.5e-05,ZI,398.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.45e-07,9.753067058774585e-09,6.793337865812829e-08,-2.1158770029684246e-07,1.0315377427503529e-07,-2.6342497191463245e-09,-1.996126577960274e-09,9.175975378938854e-09,,,2.5e-05,ZI,423.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.43e-07,6.761159265136938e-09,6.6822713265422e-08,-2.0812838264057428e-07,1.0614283457335162e-07,-6.851209987013886e-10,-2.916930929305691e-09,6.060973335970495e-09,,,2.5e-05,ZI,448.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.41e-07,1.6254304767582523e-08,6.49004539800964e-08,-2.096594914134677e-07,9.955816758771456e-08,1.4981277016042502e-09,2.852123982139498e-09,1.5931836857614586e-08,,,2.5e-05,ZI,473.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.37e-07,2.778368129447977e-08,5.860335955499451e-08,-2.057286921440643e-07,1.0203112994356594e-07,8.435172924847566e-09,5.371638197209294e-09,2.5921541371597207e-08,,,2.5e-05,ZI,498.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.2900000000000003e-07,2.284456519940149e-08,6.975737440315671e-08,-1.9270261941897966e-07,1.0217929920214622e-07,-9.045621662173372e-09,-5.876576006627442e-09,2.0137446271383474e-08,,,2.5e-05,ZI,523.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.19e-07,2.854329728199728e-08,5.5432046413261536e-08,-1.8956281525885677e-07,9.462677898763412e-08,-3.1512844837824066e-09,2.3141671713836714e-09,2.8274261372025896e-08,,,2.5e-05,ZI,548.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,2.05e-07,3.2606185370705416e-08,5.97684229784264e-08,-1.7260090738019747e-07,9.306805244660708e-08,1.128788090077338e-09,2.5215928552792522e-09,3.248893244396787e-08,,,2.5e-05,ZI,573.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.85e-07,4.62120131042882e-08,6.458585510340582e-08,-1.5069009007748887e-07,8.570976649717442e-08,-9.984377006827256e-09,-1.4482799939600584e-10,4.5120299154449704e-08,,,2.5e-05,ZI,598.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.71e-07,5.8742047341372644e-08,5.3160214999547406e-08,-1.4448523337269086e-07,7.442451799266801e-08,5.337144172265826e-09,3.95435392362257e-09,5.836528165773934e-08,,,2.5e-05,ZI,623.0,,1,,,
AL2360-1b,AL2360-1,1991-1992 Eruption Site,1.6100000000000005e-07,6.471107202398171e-08,5.4482088571493334e-08,-1.328410583369314e-07,7.284198819919704e-08,-2.0650906061486886e-10,1.1586320108622758e-09,6.470036915168443e-08,,,2.5e-05,ZI,648.0,,1,,,
