tab 	samples
citations	geologic_classes	geologic_types	lat	lithologies	lithology	lon	method_codes	result_quality	result_type	sample	site
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1cy_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1cz_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1e_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1fx_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1fy_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1ga_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1gb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1gc_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1h_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1hb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1ka_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1kb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1kc_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1kd_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1l_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1my	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1na_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1nb	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p1o_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2aa_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2ab_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2ac_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2ad	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2b_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2d	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2ey_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2kx_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2na_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2nb_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2o_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2q	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2qc	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2rl_u	P
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	19.3	Basalt		257.9				p2s_u	P
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified		35.2				remag-rs61	remag-rs61
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified		35.2				remag-rs62	remag-rs62
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified		35.2				remag-rs63	remag-rs63
10.1016/j.epsl.2011.08.024:This study	Synthetic	Slag	31.7811	Not Specified		35.2				remag-rs78	remag-rs78
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	31.7811	Not Specified		35.2				rs25	rs25
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	31.7811	Not Specified		35.2				rs26	rs26
10.1016/j.epsl.2009.12.022:This study	Synthetic	Slag	31.7811	Not Specified		35.2				rs27	rs27
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1a	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1c	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1dy	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1f	VM
10.1029/2010JB007844:This study	Extrusive:Igneous	Lava Flow	40.8	Basalt		14.5				vm1g	VM
