tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_ftest_quality	aniso_p	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	experiments	geologic_classes	geologic_types	int_abs	int_abs_max	int_abs_min	int_corr_aniso	int_k	int_k_max	int_k_min	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	result_type	sample	size	software_packages	specimen
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3023-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3023-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3028-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3028-2a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3028-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3028-2b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-4a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-4b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-4		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-4c
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3029-5		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3029-5a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3031-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3031-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3031-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3031-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3031-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3031-1c
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3031-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3031-1d
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3034-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3034-2a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3034-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3034-2d
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3034-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3034-2e
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3034-5		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3034-5a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3034-5		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3034-5b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3034-5		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3034-5d
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3035-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3035-2a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3035-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3035-2b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3035-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3035-2h
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3035-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3035-2i
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3035-2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3035-2j
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3156-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3156-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3156-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3156-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3159-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3159-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3159-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3159-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3159-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3159-1g
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3166-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3166-1a
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3166-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3166-1b
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3166-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3166-1g
														10.1029/2005GC001141:This study			Extrusive:Igneous:Submarine	Glassy Margin								Submarine Basaltic Glass			Kelvin				AL3166-1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	AL3166-1h
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-1-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-10-1
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-2-1
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-3-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-4-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-5-1
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-6-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-7-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-8-1
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-9-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				B		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	B-9-4L
														10.1016/j.pepi.2014.12.007:This study			Archeologic	Brick								Not Specified			Kelvin				BR06		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	BR06-3F
														10.1016/j.pepi.2014.12.007:This study			Archeologic	Brick								Not Specified			Kelvin				BR06		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	BR06-4F
														10.1016/j.pepi.2014.12.007:This study			Archeologic	Brick								Not Specified			Kelvin				BR06		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	BR06-5F
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				C		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	C-1-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				C		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	C-2-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				C		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	C-3-3
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				C		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	C-4-1
														10.1111/j.1365-246X.2012.05412.x:This study			Extrusive:Igneous	Lava flow								Basalt			Kelvin				C		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	C-4-4L
														This study															Kelvin		g		ET1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET1_279BS
														This study															Kelvin		g		ET1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET1_283E
														This study															Kelvin		g		ET1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET1_287D
														This study															Kelvin		g		ET1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET1_289D
														This study															Kelvin		g		ET1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET1_311E
														This study															Kelvin		g		ET1		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET1_318A
														This study															Kelvin		g		ET2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET2_182B
														This study															Kelvin		g		ET2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET2_185A
														This study															Kelvin		g		ET2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET2_187A
														This study															Kelvin		g		ET2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET2_192A
														This study															Kelvin		g		ET2		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET2_196D
														This study															Kelvin		g		ET3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET3_008A
														This study															Kelvin		g		ET3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET3_023E2
														This study															Kelvin		g		ET3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET3_059C
														This study															Kelvin		g		ET3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET3_064C
														This study															Kelvin		g		ET3		pmagpy-4.2.69: thellier_gui.pmagpy-4.2.69	ET3_146A
