tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	number	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Bowles	10.1029/2005GC001141			120.3	18.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.1e-07		273.0	19	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	20		AL2360-1a	u			2.5e-05	0.0	90.0		548.0
Bowles	10.1029/2005GC001141			121.3	13.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.0099999999999999e-07		273.0	20	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	21		AL2360-1a	u			0.0	0.0	0.0		573.0
Bowles	10.1029/2005GC001141			120.8	18.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.04e-07		273.0	21	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	22		AL2360-1a	u			2.5e-05	0.0	90.0		523.0
Bowles	10.1029/2005GC001141			122.7	21.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.04e-07		273.0	22	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	23		AL2360-1a	u			2.5e-05	0.0	90.0		573.0
Bowles	10.1029/2005GC001141			121.9	15.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.06e-08		273.0	23	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	24		AL2360-1a	u			0.0	0.0	0.0		598.0
Bowles	10.1029/2005GC001141			120.0	29.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.76e-08		273.0	24	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	25		AL2360-1a	u			2.5e-05	0.0	90.0		598.0
Bowles	10.1029/2005GC001141			123.0	14.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.369999999999999e-08		273.0	25	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	26		AL2360-1a	u			0.0	0.0	0.0		623.0
Bowles	10.1029/2005GC001141			122.4	26.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9e-08		273.0	26	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	27		AL2360-1a	u			2.5e-05	0.0	90.0		573.0
Bowles	10.1029/2005GC001141			123.7	31.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.300000000000001e-08		273.0	27	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	28		AL2360-1a	u			2.5e-05	0.0	90.0		623.0
Bowles	10.1029/2005GC001141			124.2	16.2	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		7.96e-08		273.0	28	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	29		AL2360-1a	u			0.0	0.0	0.0		648.0
Bowles	10.1029/2005GC001141			121.4	33.0	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.97e-08		273.0	29	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	30		AL2360-1a	u			2.5e-05	0.0	90.0		648.0
Bowles	10.1029/2005GC001141			121.5	12.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		7.26e-08		273.0	30	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	31		AL2360-1a	u			0.0	0.0	0.0		673.0
Bowles	10.1029/2005GC001141			122.2	31.5	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		7.98e-08		273.0	31	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	32		AL2360-1a	u			2.5e-05	0.0	90.0		623.0
Bowles	10.1029/2005GC001141			123.3	37.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.789999999999999e-08		273.0	32	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	33		AL2360-1a	u			2.5e-05	0.0	90.0		673.0
Bowles	10.1029/2005GC001141			121.2	13.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		6.17e-08		273.0	33	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	34		AL2360-1a	u			0.0	0.0	0.0		698.0
Bowles	10.1029/2005GC001141			120.3	43.8	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.14e-08		273.0	34	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	35		AL2360-1a	u			2.5e-05	0.0	90.0		698.0
Bowles	10.1029/2005GC001141			118.8	16.1	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		4.4900000000000005e-08		273.0	35	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	36		AL2360-1a	u			0.0	0.0	0.0		723.0
Bowles	10.1029/2005GC001141			119.9	46.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		6.71e-08		273.0	36	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	37		AL2360-1a	u			2.5e-05	0.0	90.0		673.0
Bowles	10.1029/2005GC001141			122.4	59.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.880000000000003e-08		273.0	37	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	38		AL2360-1a	u			2.5e-05	0.0	90.0		723.0
Bowles	10.1029/2005GC001141			116.1	15.0	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.09e-08		273.0	38	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	39		AL2360-1a	u			0.0	0.0	0.0		748.0
Bowles	10.1029/2005GC001141			111.9	76.4	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		8.630000000000001e-08		273.0	39	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	40		AL2360-1a	u			2.5e-05	0.0	90.0		748.0
Bowles	10.1029/2005GC001141			113.6	1.3	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.07e-08		273.0	40	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	41		AL2360-1a	u			0.0	0.0	0.0		773.0
Bowles	10.1029/2005GC001141			111.9	80.7	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		6.3e-08		273.0	41	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	42		AL2360-1a	u			2.5e-05	0.0	90.0		723.0
Bowles	10.1029/2005GC001141			110.3	84.9	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		9.09e-08		273.0	42	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	43		AL2360-1a	u			2.5e-05	0.0	90.0		773.0
Bowles	10.1029/2005GC001141			285.6	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.5e-07		273.0	0	LT-NO:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	44		AL2360-1b	u			0.0	0.0	0.0		273.0
Bowles	10.1029/2005GC001141			289.0	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.48e-07		273.0	1	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	45		AL2360-1b	u			0.0	0.0	0.0		373.0
Bowles	10.1029/2005GC001141			285.8	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.48e-07		273.0	2	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	46		AL2360-1b	u			2.5e-05	0.0	90.0		373.0
Bowles	10.1029/2005GC001141			287.2	24.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.45e-07		273.0	3	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	47		AL2360-1b	u			0.0	0.0	0.0		398.0
Bowles	10.1029/2005GC001141			286.6	26.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.52e-07		273.0	4	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	48		AL2360-1b	u			2.5e-05	0.0	90.0		398.0
Bowles	10.1029/2005GC001141			287.8	24.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.45e-07		273.0	5	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	49		AL2360-1b	u			0.0	0.0	0.0		423.0
Bowles	10.1029/2005GC001141			289.0	26.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.48e-07		273.0	6	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	50		AL2360-1b	u			2.5e-05	0.0	90.0		373.0
Bowles	10.1029/2005GC001141			287.0	26.7	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.5e-07		273.0	7	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	51		AL2360-1b	u			2.5e-05	0.0	90.0		423.0
Bowles	10.1029/2005GC001141			287.8	25.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.43e-07		273.0	8	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	52		AL2360-1b	u			0.0	0.0	0.0		448.0
Bowles	10.1029/2005GC001141			287.4	26.9	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.48e-07		273.0	9	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	53		AL2360-1b	u			2.5e-05	0.0	90.0		448.0
Bowles	10.1029/2005GC001141			287.2	24.4	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.41e-07		273.0	10	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	54		AL2360-1b	u			0.0	0.0	0.0		473.0
Bowles	10.1029/2005GC001141			287.8	26.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.4199999999999997e-07		273.0	11	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	55		AL2360-1b	u			2.5e-05	0.0	90.0		423.0
Bowles	10.1029/2005GC001141			287.8	28.0	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.46e-07		273.0	12	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	56		AL2360-1b	u			2.5e-05	0.0	90.0		473.0
Bowles	10.1029/2005GC001141			285.9	25.5	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.37e-07		273.0	13	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	57		AL2360-1b	u			0.0	0.0	0.0		498.0
Bowles	10.1029/2005GC001141			288.5	31.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.47e-07		273.0	14	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	58		AL2360-1b	u			2.5e-05	0.0	90.0		498.0
Bowles	10.1029/2005GC001141			289.9	26.5	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.2899999999999997e-07		273.0	15	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	59		AL2360-1b	u			0.0	0.0	0.0		523.0
Bowles	10.1029/2005GC001141			287.7	29.1	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.37e-07		273.0	16	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	60		AL2360-1b	u			2.5e-05	0.0	90.0		473.0
Bowles	10.1029/2005GC001141			287.0	30.5	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.41e-07		273.0	17	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	61		AL2360-1b	u			2.5e-05	0.0	90.0		523.0
Bowles	10.1029/2005GC001141			286.3	25.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.19e-07		273.0	18	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	62		AL2360-1b	u			0.0	0.0	0.0		548.0
Bowles	10.1029/2005GC001141			285.6	32.3	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.3e-07		273.0	19	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	63		AL2360-1b	u			2.5e-05	0.0	90.0		548.0
Bowles	10.1029/2005GC001141			289.1	27.0	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.05e-07		273.0	20	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	64		AL2360-1b	u			0.0	0.0	0.0		573.0
Bowles	10.1029/2005GC001141			286.7	31.8	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.15e-07		273.0	21	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	65		AL2360-1b	u			2.5e-05	0.0	90.0		523.0
Bowles	10.1029/2005GC001141			289.7	34.8	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.2e-07		273.0	22	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	66		AL2360-1b	u			2.5e-05	0.0	90.0		573.0
Bowles	10.1029/2005GC001141			293.2	27.6	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		1.85e-07		273.0	23	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	67		AL2360-1b	u			0.0	0.0	0.0		598.0
Bowles	10.1029/2005GC001141			289.9	39.2	AL2360-1b:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		2.07e-07		273.0	24	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT		g	68		AL2360-1b	u			2.5e-05	0.0	90.0		598.0
